MonthName,Current Year(MTD),"",Previous Year(MTD),"",Previous Year(EOM),""
Jan,$22775530,"$#,##0",$21135260,"$#,##0",$21135260,"$#,##0"
Feb,$16642517,"$#,##0",$17370512,"$#,##0",$17370512,"$#,##0"
Mar,$24589297,"$#,##0",$22925982,"$#,##0",$22925982,"$#,##0"
Apr,$24451994,"$#,##0",$23257897,"$#,##0",$23257897,"$#,##0"
May,$21569307,"$#,##0",$21280564,"$#,##0",$21280564,"$#,##0"
Jun,$23149723,"$#,##0",$21102256,"$#,##0",$21102256,"$#,##0"
Jul,$21743936,"$#,##0",$21446866,"$#,##0",$21446866,"$#,##0"
Aug,$11569487,"$#,##0",$12919208,"$#,##0",$20777582,"$#,##0"
Sep,$0,"$#,##0",$0,"$#,##0",$22581122,"$#,##0"
Oct,$0,"$#,##0",$0,"$#,##0",$22557956,"$#,##0"
Nov,$0,"$#,##0",$0,"$#,##0",$18821366,"$#,##0"
Dec,$0,"$#,##0",$0,"$#,##0",$19247960,"$#,##0"
